Year Month Day Hour temperature total_precipitation pressure wind_u wind_v longwave_radiation convective_fraction potential_energy
2000 1 1 0 -6.72 0.14 73877.87 2.76 3.13 244.85 0.00 0.00
2000 1 1 1 -7.05 0.61 73798.69 3.03 3.34 244.85 0.00 0.00
2000 1 1 2 -7.38 0.00 73719.52 3.31 3.54 244.85 0.00 0.00
2000 1 1 3 -7.71 0.02 73640.36 3.59 3.74 240.58 0.00 0.00
2000 1 1 4 -7.86 0.00 73662.30 3.65 3.45 240.58 0.00 0.00
2000 1 1 5 -8.00 0.00 73684.28 3.71 3.16 240.58 0.00 0.00
2000 1 1 6 -8.15 0.00 73706.22 3.76 2.87 242.07 0.00 0.00
2000 1 1 7 -8.26 0.03 73686.63 3.95 2.87 242.07 0.00 0.49
2000 1 1 8 -8.37 0.00 73667.00 4.13 2.88 242.07 0.00 0.97
2000 1 1 9 -8.49 0.03 73647.40 4.31 2.88 247.71 0.00 1.46
2000 1 1 10 -8.55 0.00 73624.18 4.22 2.46 247.71 0.00 1.96
2000 1 1 11 -8.60 0.00 73601.01 4.13 2.03 247.71 0.00 2.45
2000 1 1 12 -8.66 0.00 73577.79 4.04 1.60 230.88 0.00 2.94
2000 1 1 13 -9.20 0.00 73577.44 3.79 1.71 230.89 0.00 4.58
2000 1 1 14 -9.74 0.00 73577.05 3.55 1.81 230.89 0.00 6.21
2000 1 1 15 -10.27 0.00 73576.71 3.31 1.92 222.84 0.00 7.84
2000 1 1 16 -9.23 0.00 73506.64 3.42 2.18 222.83 0.00 5.32
2000 1 1 17 -8.19 0.00 73436.55 3.53 2.44 222.83 0.00 2.81
2000 1 1 18 -7.15 0.00 73366.47 3.64 2.69 210.75 0.00 0.29
2000 1 1 19 -6.79 0.00 73322.65 4.11 2.67 210.75 0.00 0.50
2000 1 1 20 -6.42 0.17 73278.83 4.58 2.65 210.75 0.00 0.72
2000 1 1 21 -6.05 0.00 73235.01 5.05 2.63 187.72 0.00 0.93
2000 1 1 22 -7.77 0.00 73239.83 4.49 2.49 187.72 0.00 0.62
2000 1 1 23 -9.48 0.00 73244.64 3.92 2.36 187.73 0.00 0.31
2000 1 2 0 -11.20 0.00 73249.45 3.35 2.22 177.96 0.00 0.00
2000 1 2 1 -11.14 0.34 73366.79 3.57 2.59 177.96 0.00 0.18
2000 1 2 2 -11.09 0.00 73484.11 3.78 2.96 177.96 0.00 0.37
2000 1 2 3 -11.04 0.00 73601.41 4.00 3.34 209.46 0.00 0.55
2000 1 2 4 -11.38 0.00 73503.64 3.93 3.13 209.46 0.00 6.45
2000 1 2 5 -11.73 0.00 73405.83 3.86 2.93 209.47 0.00 12.36
2000 1 2 6 -12.07 0.00 73308.05 3.79 2.72 195.91 0.00 18.27
2000 1 2 7 -12.32 0.00 73311.70 3.64 2.51 195.91 0.00 20.10
2000 1 2 8 -12.57 0.39 73315.43 3.49 2.31 195.91 0.00 21.94
2000 1 2 9 -12.83 0.00 73319.18 3.34 2.10 213.86 0.00 23.77
2000 1 2 10 -12.91 0.00 73371.16 3.51 1.65 213.86 0.00 16.02
2000 1 2 11 -12.99 0.00 73423.14 3.69 1.21 213.86 0.00 8.27
2000 1 2 12 -13.07 0.05 73475.16 3.86 0.76 210.74 0.00 0.53
2000 1 2 13 -13.34 0.52 73431.32 3.77 0.53 210.74 0.00 2.28
2000 1 2 14 -13.62 0.01 73387.49 3.67 0.31 210.74 0.00 4.04
2000 1 2 15 -13.89 0.02 73343.64 3.57 0.08 206.94 0.00 5.79
2000 1 2 16 -12.97 0.00 73340.28 4.44 0.14 206.93 0.00 22.15
2000 1 2 17 -12.04 0.00 73336.93 5.30 0.21 206.93 0.00 38.50
2000 1 2 18 -11.12 0.29 73333.57 6.17 0.27 204.35 0.00 54.85
2000 1 2 19 -10.87 0.00 73376.66 6.11 0.57 204.35 0.01 61.18
2000 1 2 20 -10.62 0.00 73419.70 6.06 0.87 204.35 0.00 67.52
2000 1 2 21 -10.38 0.00 73462.74 6.00 1.16 201.29 0.01 73.84
2000 1 2 22 -11.85 0.00 73533.33 5.26 0.96 201.29 0.00 54.00
2000 1 2 23 -13.32 0.00 73603.90 4.52 0.75 201.30 0.00 34.15
2000 1 3 0 -14.79 0.00 73674.49 3.78 0.54 181.52 0.00 14.31
2000 1 3 1 -15.57 0.00 73645.70 3.74 0.80 181.53 0.00 18.50
